n,w,y,i
4.574711,0.6126748,6.751101,6.073044
5.488938,0.4136956,8.031711,7.788211
4.304065,0.3964152,5.823046,5.293305
4.543295,0.5806692,6.996682,6.495265
5.786897,1.172501,7.398174,5.869297
4.025352,0.6659962,7.809541,7.631432
3.401197,0.2623642,5.924256,5.736572
6.559615,1.244228,9.68856,9.486304
2.890372,0.5108256,5.459586,5.153292
3.806663,0.4418328,6.386879,6.109248
3.135494,0.2318017,4.564348,4.110874
2.564949,0.6931472,4.65396,4.29046
4.779123,0.6589558,6.336826,5.703783
3.332205,0.7949298,5.860786,5.429346
5.652489,1.11255,7.720462,7.099202
2.639057,-0.2411621,3.73767,3.367296
4.430817,0.1438942,7.026427,6.854354
3.610918,-0.3528214,5.056246,4.521789
4.077538,-0.0344862,5.488938,5.099866
3.496508,0,5.501258,5.220356
3.713572,0.3294792,5.365976,4.962845
3.401197,-0.1823216,4.812184,4.521789
3.713572,0.6558757,4.890349,3.688879
2.639057,-0.1541507,3.912023,3.526361
4.882802,0.4450742,6.478509,6.028278
4.718499,0.2787134,6.527958,6.063785
5.697093,0.8279362,8.058328,7.677401
4.875197,0.0946159,6.447306,6.09357
3.258096,0.7121953,5.267858,4.762174
2.944439,0,3.988984,3.433987
5.521461,0.6647477,7.501635,6.855409
3.044523,0.6931472,5.57973,4.828314
6.05444,0.0614527,8.692154,8.502892
3.663562,0.6268978,6.302619,6.068426
3.465736,-0.0317487,4.812184,4.430817
5.594711,0.2400993,7.224025,6.928538
6.126869,0.3330353,7.359468,6.751101
3.258096,-0.1670541,3.828641,3.178054
4.094345,0.1251631,5.880533,5.513429
3.218876,0,4.624973,4.143135
3.555348,0.8754688,5.676754,5.209486
5.081404,0.7146534,6.063785,5.537334
5.123964,0.3184537,7.433667,7.13966
3.713572,0.6808771,6.842683,6.697034
5.955837,0.8286197,7.693026,7.114769
4.727388,0.4711092,6.077642,5.389072
4.406719,0.4295626,5.53339,4.59512
5.030438,0.5225217,6.814543,6.242223
3.526361,0.4248832,5.655992,5.105946
3.555348,0.2288416,5.416101,5.105946
3.091043,0.167054,4.060443,3.258096
3.89182,0.356675,5.918894,5.638355
3.970292,0.5940563,5.993961,5.501258
3.637586,0.3136576,5.225747,4.762174
3.178054,-0.2876821,5.375278,5.214936
4.060443,0.3340062,5.857933,5.541264
3.433987,0.3036824,4.691348,4.127134
4.828314,0.14842,5.31812,3.73767
3.828641,-0.3629055,6.188264,6.025866
7.660585,0.4706511,9.836599,9.5151
5.886104,0.7055697,7.427144,6.641182
6.466145,0.3417902,7.787382,7.228388
5.774551,0.5262343,7.764296,7.339538
4.430817,0.3813676,6.376727,5.97381
4.983607,0.3635009,6.381816,5.627621
5.147494,0.3659343,6.812345,6.304449
5.231109,0.6850934,7.047517,6.343881
5.123964,0.4443805,7.097549,6.736967
3.806663,0.4128452,7.057037,6.948897
4.007333,-0.1361322,5.123964,4.718499
4.736198,0.4732877,6.586172,6.040255
